project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
kazupon/vue-i18n,1,v,64,18,3,83,147,0 days 00:00:00.136183
infracost/infracost,2, v,10,5,3,62,72,0 days 00:00:00.123462
SirVer/ultisnips,1,,11,2,7,0,11,0 days 00:00:00.091604
NLPchina/elasticsearch-sql,1,,46,4,4,144,190,0 days 00:00:00.105746
ActivityWatch/activitywatch,1,v,8,2,3,11,19,0 days 00:00:00.047022
jupyterhub/jupyterhub,1,,19,2,11,20,39,0 days 00:00:00.361679
lucas-clemente/quic-go,2,v. v,24,5,10,33,57,0 days 00:00:00.412742
aheckmann/gm,2, v,31,5,7,35,66,0 days 00:00:00.048954
qemu/qemu,2,release_ v,48,2,42,86,134,0 days 00:00:08.748766
lcobucci/jwt,1,,11,2,4,34,45,0 days 00:00:00.094359
hugapi/hug,1,,18,10,5,44,62,0 days 00:00:00.145166
open-policy-agent/opa,1,v,40,22,6,80,120,0 days 00:00:00.273424
grpc/grpc-web,1,,7,4,2,9,16,0 days 00:00:00.061104
gregberge/loadable-components,1,v,30,5,3,35,65,0 days 00:00:00.047218
xojs/xo,1,v,43,3,7,43,86,0 days 00:00:00.057099
juice-shop/juice-shop,2, v,91,56,8,101,192,0 days 00:00:01.201459
visgl/react-map-gl,2, v,22,3,8,143,165,0 days 00:00:00.137446
migueldeicaza/gui.cs,1,v,13,2,3,9,22,0 days 00:00:00.156445
electron/fiddle,2, v,29,12,3,22,51,0 days 00:00:00.200370
flyway/flyway,1,flyway-,40,7,13,101,141,0 days 00:00:00.223903
cockpit-project/cockpit,2, v,314,275,6,1,315,0 days 00:00:01.750346
jaredpalmer/tsdx,1,v,13,4,3,40,53,0 days 00:00:00.050125
Laravel-Lang/lang,1,,20,9,4,174,194,0 days 00:00:00.589889
aws/aws-sdk-js,1,v,1089,18,4,301,1390,0 days 00:00:02.335100
eclipse/che,1,,100,85,2,126,226,0 days 00:00:00.829602
QUANTAXIS/QUANTAXIS,2, V,15,3,4,44,59,0 days 00:00:00.453091
svgdotjs/svg.js,1,,50,5,5,48,98,0 days 00:00:00.103096
josdejong/jsoneditor,1,v,71,21,5,125,196,0 days 00:00:00.146285
grpc/grpc-java,1,v,52,22,4,58,110,0 days 00:00:00.413257
react-native-camera/react-native-camera,1,v,84,7,3,96,180,0 days 00:00:00.143499
stylelint/stylelint,2, v,97,72,4,88,185,0 days 00:00:00.488381
snapappointments/bootstrap-select,2, v,13,2,5,52,65,0 days 00:00:00.115646
sindresorhus/pageres,2, v,24,2,3,23,47,0 days 00:00:00.037912
pockethub/PocketHub,2, v,11,5,3,9,20,0 days 00:00:00.157923
meliorence/react-native-snap-carousel,2,V v,22,10,2,29,51,0 days 00:00:00.037288
Sylius/Sylius,1,v,30,4,17,151,181,0 days 00:00:02.078962
iterative/dvc,1,,92,63,3,258,350,0 days 00:00:00.780075
TarsCloud/Tars,2, v,15,2,4,32,47,0 days 00:00:00.064391
senchalabs/connect,1,,52,17,10,174,226,0 days 00:00:00.361368
BookStackApp/BookStack,3, v. v,36,10,9,113,149,0 days 00:00:00.268660
jhen0409/react-native-debugger,1,v,12,3,4,74,86,0 days 00:00:00.066019
FormidableLabs/victory,1,v,65,24,5,156,221,0 days 00:00:00.635884
apidoc/apidoc,1,,27,5,6,19,46,0 days 00:00:00.056201
lvgl/lvgl,2, v,26,10,7,20,46,0 days 00:00:00.572224
Automattic/kue,2, v,10,2,6,47,57,0 days 00:00:00.066456
argoproj/argo-cd,1,v,25,9,4,115,140,0 days 00:00:00.326185
botpress/botpress,2, v,88,53,4,234,322,0 days 00:00:01.114721
vnotex/vnote,2, v,47,28,3,13,60,0 days 00:00:00.203952
upx/upx,1,v,31,4,18,0,31,0 days 00:00:00.175514
r-spacex/SpaceX-API,2, v,15,9,3,8,23,0 days 00:00:00.101405
pinojs/pino,2, v,90,20,2,150,240,0 days 00:00:00.203186
dingo/api,2, v,16,5,5,41,57,0 days 00:00:00.093889
squizlabs/PHP_CodeSniffer,1,,19,5,12,51,70,0 days 00:00:00.400796
FormidableLabs/spectacle,2, v,35,3,8,77,112,0 days 00:00:00.121069
uncss/uncss,1,,9,2,5,9,18,0 days 00:00:00.040620
reactjs/react-transition-group,1,v,19,5,6,19,38,0 days 00:00:00.040074
Atmosphere-NX/Atmosphere,1,,18,7,6,48,66,0 days 00:00:00.303043
exceljs/exceljs,2, v,41,22,4,180,221,0 days 00:00:00.323065
deployphp/deployer,1,v,20,5,8,47,67,0 days 00:00:00.212175
callstack/react-native-paper,2, v,53,23,4,61,114,0 days 00:00:00.122922
docmirror/dev-sidecar,2, v,7,3,2,16,23,0 days 00:00:00.041218
mongodb/node-mongodb-native,3,v. v V,25,4,18,387,412,0 days 00:00:00.875221
coredns/coredns,1,v,20,6,7,42,62,0 days 00:00:00.292653
catboost/catboost,3, v. v,25,7,3,57,82,0 days 00:00:01.672788
bulletphysics/bullet3,1,,18,3,9,6,24,0 days 00:00:00.512963
boardgameio/boardgame.io,1,v,39,20,2,111,150,0 days 00:00:00.142336
crimx/ext-saladict,3, V v,59,34,5,139,198,0 days 00:00:00.343111
javascript-obfuscator/javascript-obfuscator,1,,63,27,2,122,185,0 days 00:00:00.180902
coleifer/peewee,1,,35,8,13,139,174,0 days 00:00:00.259307
direnv/direnv,2, v,33,2,15,42,75,0 days 00:00:00.151210
ydataai/pandas-profiling,2,v. v,20,7,7,14,34,0 days 00:00:00.071931
react-dropzone/react-dropzone,2, v,55,5,3,120,175,0 days 00:00:00.088126
Gallopsled/pwntools,1,,26,5,8,35,61,0 days 00:00:00.256155
paulmillr/chokidar,1,,28,8,10,70,98,0 days 00:00:00.119229
ginuerzh/gost,2, v,21,4,6,11,32,0 days 00:00:00.038499
pyinstaller/pyinstaller,2, v,28,5,19,6,34,0 days 00:00:00.496679
helmetjs/helmet,1,v,51,2,6,34,85,0 days 00:00:00.078382
callstack/linaria,1,v,14,2,2,24,38,0 days 00:00:00.051949
inversify/InversifyJS,2, v,25,4,6,22,47,0 days 00:00:00.092605
symfony/console,1,v,26,4,21,466,492,0 days 00:00:00.509841
thumbor/thumbor,1,,61,12,9,178,239,0 days 00:00:00.206339
sinonjs/sinon,2, v,57,18,16,121,178,0 days 00:00:00.374241
dromara/Sa-Token,1,v,23,16,2,1,24,0 days 00:00:00.134812
fkhadra/react-toastify,1,v,33,10,7,60,93,0 days 00:00:00.094692
sonic-pi-net/sonic-pi,1,v,16,5,7,9,25,0 days 00:00:00.605818
aws/chalice,1,,38,15,7,43,81,0 days 00:00:00.232344
webtorrent/webtorrent-desktop,1,v,25,17,5,13,38,0 days 00:00:00.152685
react-page/react-page,2, v,58,9,4,214,272,0 days 00:00:00.211727
antvis/G6,1,,9,2,2,64,73,0 days 00:00:00.361660
facebookresearch/ParlAI,2, v,10,5,2,10,20,0 days 00:00:00.220058
encode/httpx,1,,23,7,3,47,70,0 days 00:00:00.101961
tweepy/tweepy,2, v,40,16,15,4,44,0 days 00:00:00.201076
PrefectHQ/prefect,1,,17,5,6,102,119,0 days 00:00:00.910215
remarkjs/react-markdown,2, v,22,2,6,46,68,0 days 00:00:00.047808
golang-migrate/migrate,1,v,24,6,7,25,49,0 days 00:00:00.078471
GoogleChromeLabs/comlink,1,v,15,6,4,23,38,0 days 00:00:00.076647
gregberge/svgr,1,v,36,6,4,19,55,0 days 00:00:00.062507
zerotier/ZeroTierOne,1,,15,3,5,68,83,0 days 00:00:00.314290
ultralytics/yolov3,1,v,12,6,3,0,12,0 days 00:00:00.124821
cert-manager/cert-manager,1,v,25,3,3,49,74,0 days 00:00:00.601065
piskelapp/piskel,1,v,14,2,9,16,30,0 days 00:00:00.102352
mapeditor/tiled,1,v,27,3,19,56,83,0 days 00:00:00.364364
tweenjs/tween.js,3, r v,30,4,10,23,53,0 days 00:00:00.057448
caprover/caprover,2,V v,12,6,5,17,29,0 days 00:00:00.187492
pyodide/pyodide,2, v,20,9,6,25,45,0 days 00:00:00.213385
aws/serverless-application-model,2, v,42,10,5,9,51,0 days 00:00:00.109437
Automattic/node-canvas,2, v,30,6,10,88,118,0 days 00:00:00.128414
cefsharp/CefSharp,1,v,27,4,10,70,97,0 days 00:00:00.499513
google/go-github,1,v,59,10,6,35,94,0 days 00:00:00.117049
spotDL/spotify-downloader,1,v,14,2,4,38,52,0 days 00:00:00.172292
jprichardson/node-fs-extra,2, v,43,7,7,42,85,0 days 00:00:00.081600
shipshapecode/tether,1,v,13,2,3,60,73,0 days 00:00:00.077129
Shopify/sarama,1,v,34,10,15,18,52,0 days 00:00:00.171673
wkentaro/labelme,1,v,50,15,7,125,175,0 days 00:00:00.140926
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,2, v,26,15,3,32,58,0 days 00:00:00.094811
restsharp/RestSharp,2, v,30,10,7,29,59,0 days 00:00:00.119652
nodejs/node-gyp,2, v,37,2,15,98,135,0 days 00:00:00.105490
doctrine/dbal,2, v,18,2,14,79,97,0 days 00:00:00.773866
jwtk/jjwt,1,,11,3,6,15,26,0 days 00:00:00.042963
cesanta/mongoose,1,,43,11,21,1,44,0 days 00:00:00.292421
pytest-dev/pytest,1,,42,10,17,122,164,0 days 00:00:01.015793
rq/rq,2, v,24,2,15,44,68,0 days 00:00:00.107234
giampaolo/psutil,1,release-,32,8,17,52,84,0 days 00:00:00.423931
OnsenUI/OnsenUI,1,,20,6,8,68,88,0 days 00:00:00.607346
projectdiscovery/nuclei,2,v. v,10,2,6,43,53,0 days 00:00:00.177128
panjf2000/ants,1,v,9,2,2,15,24,0 days 00:00:00.037802
libretro/RetroArch,2, v,15,3,7,77,92,0 days 00:00:03.545971
Nozbe/WatermelonDB,1,v,19,5,6,17,36,0 days 00:00:00.213652
cytoscape/cytoscape.js,1,v,29,10,12,198,227,0 days 00:00:00.473003
sebastianbergmann/php-code-coverage,1,,23,2,13,138,161,0 days 00:00:00.201174
protobufjs/protobuf.js,2, v,23,7,5,55,78,0 days 00:00:00.087421
dat-ecosystem-archive/dat,1,v,43,9,5,64,107,0 days 00:00:00.138688
agenda/agenda,2, v,20,2,8,65,85,0 days 00:00:00.068869
benoitc/gunicorn,1,,31,12,14,51,82,0 days 00:00:00.172923
coil-kt/coil,1,,15,5,6,12,27,0 days 00:00:00.070337
pre-commit/pre-commit,1,v,60,25,8,111,171,0 days 00:00:00.180585
MahApps/MahApps.Metro,1,,21,5,11,33,54,0 days 00:00:00.381975
borgbackup/borg,1,,22,12,5,36,58,0 days 00:00:00.584145
jopohl/urh,1,v,17,6,6,74,91,0 days 00:00:00.256909
libgit2/libgit2,1,v,29,7,16,48,77,0 days 00:00:01.063885
hediet/vscode-drawio,1,v,10,4,2,13,23,0 days 00:00:00.029585
tidwall/tile38,1,,27,6,7,59,86,0 days 00:00:00.089445
vector-im/element-web,1,v,27,9,9,172,199,0 days 00:00:00.799408
NG-ZORRO/ng-zorro-antd,1,,41,28,5,65,106,0 days 00:00:00.156122
OpenFeign/feign,3, release- v,72,12,8,54,126,0 days 00:00:00.112487
resilience4j/resilience4j,3, v. v,22,4,8,15,37,0 days 00:00:00.084229
happyfish100/fastdfs,1,V,16,5,4,0,16,0 days 00:00:00.031083
devhubapp/devhub,2, v,55,25,3,61,116,0 days 00:00:00.368492
electron/electron-packager,1,v,53,9,6,42,95,0 days 00:00:00.089593
HabitRPG/habitica,2, v,351,105,2,612,963,0 days 00:00:02.552287
symfony/event-dispatcher,1,v,26,4,17,436,462,0 days 00:00:00.305584
Koenkk/zigbee2mqtt,1,,28,16,5,33,61,0 days 00:00:00.269568
google/or-tools,1,v,32,7,8,3,35,0 days 00:00:00.671693
VulcanJS/Vulcan,2, v,22,10,6,45,67,0 days 00:00:00.401818
symfony/http-foundation,1,v,26,4,20,464,490,0 days 00:00:00.632327
Stuk/jszip,1,v,19,5,7,14,33,0 days 00:00:00.092667
dotnet/machinelearning,1,v,18,12,4,5,23,0 days 00:00:00.162731
sahat/satellizer,1,,14,7,4,41,55,0 days 00:00:00.110951
airbnb/epoxy,1,,41,4,4,22,63,0 days 00:00:00.040723
ng-bootstrap/ng-bootstrap,1,,27,12,6,49,76,0 days 00:00:00.127585
symfony/finder,1,v,26,4,16,440,466,0 days 00:00:00.457280
doitsujin/dxvk,1,v,40,30,5,32,72,0 days 00:00:00.285435
ag-grid/ag-grid,2, v,87,57,5,103,190,0 days 00:00:01.711037
Jguer/yay,1,v,49,19,9,26,75,0 days 00:00:00.494983
grommet/grommet,2, v,41,18,7,76,117,0 days 00:00:00.616225
pypa/pip,1,,36,2,27,73,109,0 days 00:00:00.973710
mjmlio/mjml,3, V v,25,8,10,50,75,0 days 00:00:00.178804
zalmoxisus/redux-devtools-extension,2, v,27,15,2,43,70,0 days 00:00:00.069349
mediaelement/mediaelement,1,,32,8,11,117,149,0 days 00:00:00.292303
grpc-ecosystem/grpc-gateway,1,v,28,7,7,43,71,0 days 00:00:00.129124
automerge/automerge,1,v,13,3,6,20,33,0 days 00:00:00.057717
google/cadvisor,2, v,45,19,15,71,116,0 days 00:00:00.340511
firefly-iii/firefly-iii,1,,41,18,8,201,242,0 days 00:00:01.165832
Tencent/APIJSON,1,,37,18,7,51,88,0 days 00:00:00.180674
JustArchiNET/ArchiSteamFarm,1,,167,83,9,431,598,0 days 00:00:01.040609
abpframework/abp,2, v,43,31,3,60,103,0 days 00:00:01.580592
fabric/fabric,1,,26,4,18,97,123,0 days 00:00:00.454336
powerline/powerline,1,,13,3,7,10,23,0 days 00:00:00.273746
authelia/authelia,1,v,55,33,5,114,169,0 days 00:00:00.238472
verdaccio/verdaccio,1,v,64,21,8,148,212,0 days 00:00:00.510246
RaRe-Technologies/gensim,1,,23,6,11,36,59,0 days 00:00:00.290872
flipped-aurora/gin-vue-admin,3,V v v.,7,2,2,21,28,0 days 00:00:00.123950
txthinking/brook,1,v,43,9,4,0,43,0 days 00:00:00.041007
mdx-js/mdx,2, v,26,8,2,140,166,0 days 00:00:00.140085
getgrav/grav,1,,13,3,8,170,183,0 days 00:00:00.559132
timescale/timescaledb,1,,28,7,8,33,61,0 days 00:00:00.360299
qutebrowser/qutebrowser,1,v,32,4,16,49,81,0 days 00:00:01.524945
bcicen/ctop,2, v,5,2,2,11,16,0 days 00:00:00.033565
termux/termux-app,1,v,89,20,7,0,89,0 days 00:00:00.112764
gionkunz/chartist-js,1,v,11,5,4,47,58,0 days 00:00:00.057622
python/mypy,1,v,59,22,8,7,66,0 days 00:00:00.577223
WerWolv/ImHex,1,v,19,14,2,12,31,0 days 00:00:00.214608
http-party/node-http-proxy,2, v,27,4,8,70,97,0 days 00:00:00.091741
DIYgod/DPlayer,2, v,21,2,4,21,42,0 days 00:00:00.070629
keybase/client,2, v,29,21,4,65,94,0 days 00:00:02.428403
arduino/Arduino,1,,26,3,12,46,72,0 days 00:00:00.429834
redux-form/redux-form,1,v,46,11,7,141,187,0 days 00:00:00.167957
revel/revel,1,v,18,4,10,7,25,0 days 00:00:00.108058
xtermjs/xterm.js,1,,76,29,6,35,111,0 days 00:00:00.637263
wechaty/wechaty,1,v,15,4,7,8,23,0 days 00:00:00.389516
Semantic-Org/Semantic-UI-React,1,v,93,32,5,211,304,0 days 00:00:00.311288
charmbracelet/bubbletea,1,v,20,4,3,27,47,0 days 00:00:00.048228
mockito/mockito,1,v,58,16,6,409,467,0 days 00:00:00.718057
showdownjs/showdown,2, v,14,3,5,42,56,0 days 00:00:00.064494
moment/luxon,1,,37,2,4,69,106,0 days 00:00:00.090765
OptimalBits/bull,2, v,49,7,10,84,133,0 days 00:00:00.150365
thephpleague/flysystem,1,,13,2,4,175,188,0 days 00:00:00.188956
uuidjs/uuid,1,v,16,4,6,21,37,0 days 00:00:00.036933
pyecharts/pyecharts,1,v,14,3,5,29,43,0 days 00:00:00.308107
liriliri/eruda,1,v,15,2,5,40,55,0 days 00:00:00.064871
josdejong/mathjs,1,v,109,64,2,118,227,0 days 00:00:00.410209
MaterialDesignInXAML/MaterialDesignInXamlToolkit,2, v,21,5,12,12,33,0 days 00:00:00.323428
tensorflow/tensor2tensor,3, v. v,15,5,4,61,76,0 days 00:00:00.298237
Budibase/budibase,1,v,10,5,2,479,489,0 days 00:00:01.636808
11ty/eleventy,1,v,13,2,6,41,54,0 days 00:00:00.101373
gaearon/react-hot-loader,2, v,25,7,4,107,132,0 days 00:00:00.141155
aquasecurity/trivy,1,v,28,13,2,59,87,0 days 00:00:00.102179
visionmedia/supertest,2, v,29,2,9,29,58,0 days 00:00:00.040180
rt2zz/redux-persist,1,v,36,4,4,76,112,0 days 00:00:00.069886
scylladb/scylla,1,scylla-,33,11,10,130,163,0 days 00:00:02.460659
oliver-moran/jimp,2, v,15,2,2,71,86,0 days 00:00:00.078322
systemjs/systemjs,2, v,40,8,3,187,227,0 days 00:00:00.210059
foambubble/foam,1,v,17,8,2,44,61,0 days 00:00:00.060185
casbin/casbin,1,v,68,10,5,118,186,0 days 00:00:00.111197
carloscuesta/gitmoji,1,v,13,4,2,5,18,0 days 00:00:00.044661
lra/mackup,1,,8,4,3,53,61,0 days 00:00:00.160472
webpack-contrib/webpack-bundle-analyzer,1,v,32,6,6,34,66,0 days 00:00:00.047081
aurelia/framework,1,,23,2,5,32,55,0 days 00:00:00.055700
keycloak/keycloak,1,,16,2,7,21,37,0 days 00:00:00.823005
ramsey/uuid,1,,26,4,12,37,63,0 days 00:00:00.077641
roots/sage,2, v,27,7,10,35,62,0 days 00:00:00.150232
ben-manes/caffeine,2, v,16,3,6,45,61,0 days 00:00:00.087435
Miserlou/Zappa,2, v,50,30,3,71,121,0 days 00:00:00.229609
mikepenz/MaterialDrawer,1,v,35,9,7,166,201,0 days 00:00:00.194525
karma-runner/karma,2, v,35,8,10,198,233,0 days 00:00:00.314521
LuckSiege/PictureSelector,2,v. v,12,5,5,91,103,0 days 00:00:00.181768
microsoft/nni,1,v,27,9,2,16,43,0 days 00:00:00.198379
NodeBB/NodeBB,1,v,30,2,17,93,123,0 days 00:00:01.373410
AdguardTeam/AdGuardHome,1,v,19,6,4,31,50,0 days 00:00:00.298156
apexcharts/apexcharts.js,2, v,32,9,3,54,86,0 days 00:00:00.136100
mifi/lossless-cut,1,v,70,29,8,67,137,0 days 00:00:00.132232
spicetify/spicetify-cli,2,v. v,23,9,4,52,75,0 days 00:00:00.057256
sindresorhus/got,1,v,70,18,8,71,141,0 days 00:00:00.110911
rjsf-team/react-jsonschema-form,1,v,71,15,6,52,123,0 days 00:00:00.219284
rizinorg/cutter,1,v,14,6,5,16,30,0 days 00:00:00.122083
hotwired/stimulus,1,v,12,5,4,14,26,0 days 00:00:00.064614
bettercap/bettercap,1,v,33,21,5,10,43,0 days 00:00:00.121296
d2-projects/d2-admin,2, v,25,6,4,62,87,0 days 00:00:00.277584
thingsboard/thingsboard,1,v,15,2,7,33,48,0 days 00:00:00.603735
cloudwu/skynet,1,v,15,7,6,18,33,0 days 00:00:00.103661
OpenAPITools/openapi-generator,2, v,16,2,11,38,54,0 days 00:00:01.127671
conventional-changelog/commitlint,1,v,47,14,5,89,136,0 days 00:00:00.154057
pagehelper/Mybatis-PageHelper,1,v,18,5,6,42,60,0 days 00:00:00.055634
nock/nock,2, v,125,15,5,181,306,0 days 00:00:00.531484
wenzhixin/bootstrap-table,1,,18,3,9,39,57,0 days 00:00:00.248408
graphile/postgraphile,1,v,35,3,7,60,95,0 days 00:00:00.279596
slimphp/Slim,1,,40,6,21,55,95,0 days 00:00:00.307961
PHPOffice/PhpSpreadsheet,1,,24,6,7,10,34,0 days 00:00:00.203322
mail-in-a-box/mailinabox,1,v,45,13,11,0,45,0 days 00:00:00.111477
micro/micro,2, v,62,36,2,37,99,0 days 00:00:00.325882
video-dev/hls.js,1,v,16,2,9,185,201,0 days 00:00:00.695019
ajv-validator/ajv,2, v,71,26,4,89,160,0 days 00:00:00.268965
argoproj/argo-workflows,2, v,23,7,9,102,125,0 days 00:00:00.420043
allenai/allennlp,2, v,24,4,5,23,47,0 days 00:00:00.160743
SFTtech/openage,1,v,5,2,2,4,9,0 days 00:00:00.259709
davisking/dlib,1,v,55,12,13,0,55,0 days 00:00:00.575947
FriendsOfPHP/PHP-CS-Fixer,1,v,48,26,15,148,196,0 days 00:00:00.547872
keeweb/keeweb,1,v,25,10,9,103,128,0 days 00:00:00.225081
stylus/stylus,1,,53,28,10,115,168,0 days 00:00:00.243583
jonas/tig,1,tig-,27,6,19,22,49,0 days 00:00:00.185906
ent/ent,1,v,10,2,4,21,31,0 days 00:00:00.098979
baidu/amis,1,,9,5,2,37,46,0 days 00:00:00.398934
dgraph-io/badger,1,v,14,3,6,20,34,0 days 00:00:00.212949
Kotlin/kotlinx.coroutines,1,,24,11,6,38,62,0 days 00:00:00.152004
GoogleChrome/workbox,1,v,24,9,7,38,62,0 days 00:00:00.107142
javve/list.js,2, v,11,3,5,10,21,0 days 00:00:00.049888
summernote/summernote,1,v,8,2,2,52,60,0 days 00:00:00.177282
nats-io/nats-server,1,v,17,2,12,49,66,0 days 00:00:00.602991
browserslist/browserslist,1,,49,10,5,119,168,0 days 00:00:00.116774
wbkd/react-flow,2, v,56,27,2,118,174,0 days 00:00:00.293967
fengyuanchen/cropperjs,1,v,14,6,3,40,54,0 days 00:00:00.063756
lingochamp/FileDownloader,1,v,11,2,2,56,67,0 days 00:00:00.053394
Rapptz/discord.py,1,v,24,11,6,41,65,0 days 00:00:00.168745
tymondesigns/jwt-auth,1,,6,2,2,29,35,0 days 00:00:00.115702
polybar/polybar,1,,20,5,7,84,104,0 days 00:00:00.127088
go-playground/validator,1,v,94,12,6,59,153,0 days 00:00:00.101669
networkx/networkx,1,networkx-,37,7,25,10,47,0 days 00:00:00.576393
spatie/laravel-permission,1,,87,18,4,71,158,0 days 00:00:00.118454
ionic-team/stencil,1,v,53,33,2,189,242,0 days 00:00:00.514718
GoogleContainerTools/kaniko,1,v,33,14,4,4,37,0 days 00:00:00.123518
rqlite/rqlite,1,v,56,35,4,39,95,0 days 00:00:00.195948
swaywm/sway,1,,22,5,8,7,29,0 days 00:00:00.533474
akiran/react-slick,2, v,13,3,5,27,40,0 days 00:00:00.083238
restify/node-restify,2, v,44,11,7,96,140,0 days 00:00:00.221496
thanos-io/thanos,1,v,26,7,2,17,43,0 days 00:00:00.192772
VSCodeVim/Vim,2, v,38,18,6,187,225,0 days 00:00:00.629787
avwo/whistle,1,v,31,11,10,342,373,0 days 00:00:00.663128
dbcli/mycli,1,v,26,8,9,20,46,0 days 00:00:00.206031
luin/ioredis,2, v,54,9,4,132,186,0 days 00:00:00.160979
dbcli/pgcli,2, v,39,12,9,47,86,0 days 00:00:00.392466
TypeStrong/ts-node,1,v,52,3,7,83,135,0 days 00:00:00.085067
styleguidist/react-styleguidist,2, v,47,16,3,215,262,0 days 00:00:00.194053
okonet/lint-staged,2, v,44,3,3,145,189,0 days 00:00:00.141927
redis/redis-py,2, v,15,2,9,49,64,0 days 00:00:00.159785
netbox-community/netbox,2, v,24,6,13,173,197,0 days 00:00:00.575274
reactstrap/reactstrap,2, v,61,12,6,54,115,0 days 00:00:00.093207
shipshapecode/shepherd,1,v,46,8,7,73,119,0 days 00:00:00.142229
aws/aws-cli,1,,46,18,9,1642,1688,0 days 00:00:03.994165
PrismJS/prism,2, v,29,8,11,11,40,0 days 00:00:00.222166
ansible/awx,1,,36,18,2,20,56,0 days 00:00:02.008719
pagekit/vue-resource,1,,12,2,3,41,53,0 days 00:00:00.036890
debug-js/debug,1,,22,2,6,47,69,0 days 00:00:00.046484
jantimon/html-webpack-plugin,2, v,47,6,6,36,83,0 days 00:00:00.065202
aspnetboilerplate/aspnetboilerplate,3, v. v,91,42,5,125,216,0 days 00:00:00.466256
mailhog/MailHog,2, v,10,3,2,16,26,0 days 00:00:00.024126
plouc/nivo,1,v,67,26,7,45,112,0 days 00:00:00.145573
vercel/micro,2, v,21,9,3,34,55,0 days 00:00:00.045854
react-static/react-static,1,v,28,10,5,162,190,0 days 00:00:00.157528
samuelcolvin/pydantic,2,V v,42,18,6,37,79,0 days 00:00:00.108440
SpacehuhnTech/esp8266_deauther,3, v. v,10,4,3,3,13,0 days 00:00:00.138550
spencermountain/compromise,2, v,70,23,8,148,218,0 days 00:00:00.309651
milvus-io/milvus,1,v,9,3,3,15,24,0 days 00:00:01.093899
ant-design/ant-design-mobile,2, v,28,16,4,107,135,0 days 00:00:00.480258
typesense/typesense,2, v,16,4,5,8,24,0 days 00:00:00.076334
tinygo-org/tinygo,1,v,23,9,3,4,27,0 days 00:00:00.161644
nhn/tui.calendar,1,v,21,6,2,42,63,0 days 00:00:00.111571
zricethezav/gitleaks,1,v,60,8,4,62,122,0 days 00:00:00.082371
bitwarden/server,2, v,49,29,4,58,107,0 days 00:00:00.198190
h2o/h2o,1,v,12,3,2,32,44,0 days 00:00:00.362109
coryhouse/react-slingshot,2, v,8,2,2,7,15,0 days 00:00:00.038552
git-lfs/git-lfs,2, v,29,3,18,60,89,0 days 00:00:00.803766
FredrikNoren/ungit,2, v,16,6,6,126,142,0 days 00:00:00.380307
w7corp/easywechat,1,,47,4,4,241,288,0 days 00:00:00.271967
kubernetes-sigs/kind,2, v,14,2,6,10,24,0 days 00:00:00.310354
jesseduffield/lazydocker,1,v,18,7,4,27,45,0 days 00:00:00.048090
immerjs/immer,2, v,35,14,2,94,129,0 days 00:00:00.110051
tj/commander.js,2, v,50,9,12,38,88,0 days 00:00:00.114202
doczjs/docz,1,v,19,11,5,66,85,0 days 00:00:00.125816
labstack/echo,2, v,20,2,9,75,95,0 days 00:00:00.106360
vuejs/devtools,1,v,10,3,4,36,46,0 days 00:00:00.103638
squidfunk/mkdocs-material,1,,52,21,4,192,244,0 days 00:00:00.453632
halo-dev/halo,1,v,10,2,5,42,52,0 days 00:00:00.116423
vega/vega,1,v,45,19,13,73,118,0 days 00:00:00.379251
alibaba/nacos,2, v,16,9,6,15,31,0 days 00:00:00.314938
lovell/sharp,1,v,30,3,16,88,118,0 days 00:00:00.092683
dask/dask,1,,97,53,9,141,238,0 days 00:00:00.736637
